YEAR,RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,DISTNACE
2019,1, EGAN BERNAL,2,TEAM INEOS,82H 57' 00'',-,3366
2019,2, GERAINT THOMAS,1,TEAM INEOS,82H 58' 11'',+ 00H 01' 11'',3366
2019,3, STEVEN KRUIJSWIJK,81,TEAM JUMBO - VISMA,82H 58' 31'',+ 00H 01' 31'',3366
2019,4, EMANUEL BUCHMANN,12,BORA - HANSGROHE,82H 58' 56'',+ 00H 01' 56'',3366
2019,5, JULIAN ALAPHILIPPE,21,DECEUNINCK - QUICK - STEP,83H 01' 05'',+ 00H 04' 05'',3366
2019,6, MIKEL LANDA MEANA,65,MOVISTAR TEAM,83H 01' 23'',+ 00H 04' 23'',3366
2019,7, RIGOBERTO URAN,91,EF EDUCATION FIRST,83H 02' 15'',+ 00H 05' 15'',3366
2019,8, NAIRO QUINTANA,61,MOVISTAR TEAM,83H 02' 30'',+ 00H 05' 30'',3366
2019,9, ALEJANDRO VALVERDE,62,MOVISTAR TEAM,83H 03' 12'',+ 00H 06' 12'',3366
2019,10, WARREN BARGUIL,211,TEAM ARKEA - SAMSIC,83H 04' 32'',+ 00H 07' 32'',3366
2019,11, RICHIE PORTE,131,TREK - SEGAFREDO,83H 09' 42'',+ 00H 12' 42'',3366
2019,12, GUILLAUME MARTIN,191,WANTY - GOBERT CYCLING TEAM,83H 19' 08'',+ 00H 22' 08'',3366
2019,13, DAVID GAUDU,53,GROUPAMA - FDJ,83H 20' 58'',+ 00H 23' 58'',3366
2019,14, FABIO ARU,122,UAE TEAM EMIRATES,83H 24' 36'',+ 00H 27' 36'',3366
2019,15, ROMAIN BARDET,31,AG2R LA MONDIALE,83H 27' 23'',+ 00H 30' 23'',3366
2019,16, ROMAN KREUZIGER,206,TEAM DIMENSION DATA,83H 33' 09'',+ 00H 36' 09'',3366
2019,17, SÉBASTIEN REICHENBACH,57,GROUPAMA - FDJ,83H 41' 29'',+ 00H 44' 29'',3366
2019,18, DANIEL MARTIN,121,UAE TEAM EMIRATES,83H 42' 21'',+ 00H 45' 21'',3366
2019,19, ALEXEY LUTSENKO,76,ASTANA PRO TEAM,83H 45' 52'',+ 00H 48' 52'',3366
2019,20, JESUS HERRADA,154,"COFIDIS, SOLUTIONS CREDITS",83H 48' 57'',+ 00H 51' 57'',3366
2019,21, XANDRO MEURISSE,195,WANTY - GOBERT CYCLING TEAM,83H 53' 47'',+ 00H 56' 47'',3366
2019,22, ENRIC MAS,25,DECEUNINCK - QUICK - STEP,83H 55' 20'',+ 00H 58' 20'',3366
2019,23, LAURENS DE PLUS,83,TEAM JUMBO - VISMA,83H 59' 44'',+ 01H 02' 44'',3366
2019,24, GEORGE BENNETT,82,TEAM JUMBO - VISMA,84H 01' 40'',+ 01H 04' 40'',3366
